region	sample	n_muts	surveyed_length	prob	surveyed_region_length	expected	observed
Genes	17513D_SC105	233	2029342261	1.14815526428344e-07	880557012	101.101616882949	66
Genes	17513D_SC33	160	1732528258	9.23505860647267e-08	746314614	68.9225919915703	44
Genes	C30913D_SC109	136	1615605208	8.41789809333172e-08	708629949	59.6517469656486	41
Genes	C30913D_SC125	164	1767595206	9.27814238482382e-08	779374459	72.3114720169704	58
Genes	EWSEV_SCA1	280	2577704050	1.08623796436212e-07	1180673245	128.249210222562	110
Genes	EWSEV_SCA3	342	2588467134	1.32124528647772e-07	1185324758	156.610474945285	132
Genes	EWSEV_SCB3	270	2566043880	1.05220336294483e-07	1176870600	123.83072030709	107
Genes	STE0072_SC12A	440	2223526685	1.97883840553054e-07	1009321532	199.728421105052	154
Genes	STE0072_SC23B	380	2201230712	1.72630700602364e-07	1000691106	172.750006715334	118
Genes	STE0072_SC31A	309	2104833761	1.46804942853632e-07	940904363	138.129411240948	94
Genes	STE0076_SC12C	326	1943781909	1.67714288568368e-07	861645061	144.510188404063	89
Genes	STE0076_SC23A	488	2131863722	2.28907690001022e-07	945023745	216.323202464064	168
Genes	STE0076_SC32A	360	1905424385	1.8893428825306e-07	848160186	160.246541066493	118
CDS	17513D_SC105	233	2029342261	1.14815526428344e-07	16911072	1.94165363414762	1
CDS	17513D_SC33	160	1732528258	9.23505860647267e-08	14948998	1.38054872638043	0
CDS	C30913D_SC109	136	1615605208	8.41789809333172e-08	12655417	1.06532010634618	3
CDS	C30913D_SC125	164	1767595206	9.27814238482382e-08	14585476	1.35326123078431	0
CDS	EWSEV_SCA1	280	2577704050	1.08623796436212e-07	32176671	3.49515216069898	2
CDS	EWSEV_SCA3	342	2588467134	1.32124528647772e-07	32435492	4.28552409195859	3
CDS	EWSEV_SCB3	270	2566043880	1.05220336294483e-07	32262634	3.39468519922582	1
CDS	STE0072_SC12A	440	2223526685	1.97883840553054e-07	29618647	5.86105162034518	3
CDS	STE0072_SC23B	380	2201230712	1.72630700602364e-07	29298841	5.05787944866726	4
CDS	STE0072_SC31A	309	2104833761	1.46804942853632e-07	23111877	3.39293778222517	2
CDS	STE0076_SC12C	326	1943781909	1.67714288568368e-07	17033836	2.85681768633026	3
CDS	STE0076_SC23A	488	2131863722	2.28907690001022e-07	19578122	4.48158268157818	1
CDS	STE0076_SC32A	360	1905424385	1.8893428825306e-07	16740386	3.16283291399149	2
Non_CDS	17513D_SC105	233	2029342261	1.14815526428344e-07	864541431	99.2627795193785	65
Non_CDS	17513D_SC33	160	1732528258	9.23505860647267e-08	732182838	67.6175141958348	44
Non_CDS	C30913D_SC109	136	1615605208	8.41789809333172e-08	696608249	58.6397725105625	38
Non_CDS	C30913D_SC125	164	1767595206	9.27814238482382e-08	765537320	71.0276425585644	58
Non_CDS	EWSEV_SCA1	280	2577704050	1.08623796436212e-07	1150316703	124.951767383847	108
Non_CDS	EWSEV_SCA3	342	2588467134	1.32124528647772e-07	1154723618	152.5673137467	129
Non_CDS	EWSEV_SCB3	270	2566043880	1.05220336294483e-07	1146429134	120.627659017273	106
Non_CDS	STE0072_SC12A	440	2223526685	1.97883840553054e-07	981392486	194.201714219589	151
Non_CDS	STE0072_SC23B	380	2201230712	1.72630700602364e-07	973064137	167.980743701344	114
Non_CDS	STE0072_SC31A	309	2104833761	1.46804942853632e-07	919079745	134.925449442656	92
Non_CDS	STE0076_SC12C	326	1943781909	1.67714288568368e-07	845514312	141.804831311453	86
Non_CDS	STE0076_SC23A	488	2131863722	2.28907690001022e-07	926479475	212.078276455609	167
Non_CDS	STE0076_SC32A	360	1905424385	1.8893428825306e-07	832297671	157.249568085065	116
