"region" "sample" "n_muts" "surveyed_length" "prob" "surveyed_region_length" "expected" "observed"
"1" "Genes" "1" 2468 1024335519 2.40936680825963e-06 446058042 1074.71744095208 312
"2" "Genes" "2" 2201 1024335519 2.14871002632879e-06 446058042 958.449387169986 284
"3" "Genes" "3" 2409 1024335519 2.35176849315131e-06 446058042 1049.02524929237 341
"4" "Genes" "4" 2882 1024335519 2.81353125664678e-06 446058042 1254.99824344566 398
"5" "Genes" "5" 2561 1024335519 2.50015737275239e-06 446058042 1115.2153023818 368
"6" "Genes" "6" 2667 1024335519 2.60363909142157e-06 446058042 1161.37415519416 322
"7" "Genes" "7" 2957 1024335519 2.88674945381836e-06 446058042 1287.65780911479 400
"8" "Genes" "8" 2289 1024335519 2.23461937767678e-06 446058042 996.769944221762 308
"9" "Genes" "9" 2140 1024335519 2.08915922596256e-06 446058042 931.886273759096 312
"10" "Genes" "10" 2234 1024335519 2.18092603308428e-06 446058042 972.819596064402 298
"11" "Genes" "11" 2332 1024335519 2.27659781072182e-06 446058042 1015.49476187206 296
"12" "Genes" "12" 2386 1024335519 2.32931491268536e-06 446058042 1039.00964915383 320
"13" "Genes" "13" 2655 1024335519 2.59192417987411e-06 446058042 1156.1486246871 298
"14" "Genes" "14" 2384 1024335519 2.32736242742745e-06 446058042 1038.13872740266 272
"15" "Genes" "15" 3383 1024335519 3.30262881375297e-06 446058042 1473.16414211543 407
"16" "Genes" "16" 2811 1024335519 2.74421802999101e-06 446058042 1224.08052127889 344
"17" "Genes" "17" 923 1024335519 9.01071946524975e-07 446058042 401.930388168059 133
"18" "Genes" "18" 997 1024335519 9.73313901067605e-07 446058042 434.154492961598 123
"19" "Genes" "19" 458 1024335519 4.47119124061147e-07 446058042 199.44108101947 72
"20" "Genes" "20" 400 1024335519 3.90497051581787e-07 446058042 174.184350235345 56
"21" "Genes" "21" 867 1024335519 8.46402359303524e-07 446058042 377.54457913511 145
"22" "CDS" "1" 2468 1024335519 2.40936680825963e-06 8492428 20.4613741447347 10
